	0
C06037	yellow
G00010	yellow
C03516	yellow
C16165	yellow
C20676	green
C01613	yellow
C00343	green
C11243	yellow
C18044	yellow
C05850	green
G00067	yellow
C02962	blue
C00714	yellow
C06441	blue
C05299	yellow
C05762	green
C00899	yellow
C03263	green
C08616	yellow
C05265	green
C02906	yellow
C00498	green
C05843	yellow
C05727	yellow
C10447	blue
C00390	green
C01490	yellow
C04713	yellow
C11542	blue
C00794	green
C00252	blue
C05577	green
C05696	green
C00345	green
C00191	green
C04631	blue
C07091	yellow
C05297	yellow
C04506	green
C20863	green
C17148	yellow
C06614	green
C00264	yellow
G00060	yellow
C00798	blue
C03028	green
C16399	blue
C00764	blue
C06010	green
C12208	yellow
C02051	green
C05585	yellow
C00936	yellow
C03167	blue
C06011	yellow
C16226	yellow
C00008	green
C22551	yellow
C01243	yellow
C04088	green
C02320	yellow
C20991	yellow
C11864	yellow
C15803	yellow
C17570	yellow
C20251	blue
C15882	yellow
C00774	yellow
C00093	green
C01045	green
C02946	green
C21113	green
C15968	yellow
C16164	yellow
C02415	green
G00013	yellow
C12287	yellow
C05825	blue
C19614	yellow
G10694	yellow
C00369	green
C00881	green
C16324	yellow
C06157	green
C19845	blue
G00001	yellow
C01528	green
C03758	yellow
G00055	yellow
C11174	yellow
C13482	yellow
C14153	yellow
C00100	green
C14812	yellow
C01213	yellow
C05478	yellow
C11838	blue
C00071	green
C00074	green
C05746	green
G13026	yellow
C18239	green
C19559	yellow
C00482	yellow
C00488	blue
C16541	yellow
C01146	yellow
C11863	yellow
C00309	blue
C21215	blue
C16596	green
C20775	yellow
C08830	yellow
C18170	yellow
C06112	green
C15915	yellow
C02646	yellow
G13128	yellow
C05421	yellow
C11545	blue
C00079	green
C22112	yellow
G02632	yellow
C08601	yellow
C01753	yellow
C00999	yellow
C04294	blue
C00387	green
C16643	yellow
C14874	yellow
C16739	yellow
C07838	blue
C21458	yellow
C00422	yellow
C22442	green
C19871	blue
C00692	blue
C03428	yellow
C05498	yellow
C12203	yellow
C00063	green
C00680	green
C11061	yellow
C20769	blue
C15786	yellow
C00114	green
G00145	yellow
C05980	green
G00044	yellow
C16376	yellow
C15546	yellow
C00047	green
C16669	yellow
C00508	blue
C05637	yellow
C00380	blue
C05768	green
C06022	green
C03824	yellow
C01623	yellow
C20375	green
G00155	yellow
C03431	blue
G10113	yellow
G13024	yellow
C02737	green
C00966	green
C00073	green
C00575	yellow
C00145	green
C03161	green
C03082	green
C00570	yellow
C17223	green
C20755	blue
C11508	yellow
C00638	green
G00428	yellow
C17267	yellow
C00402	blue
C00154	green
C05842	yellow
C15978	green
C19595	yellow
G00036	yellow
C01885	green
C11860	yellow
C20701	yellow
C22853	yellow
C01107	green
C00762	yellow
C11355	yellow
C21937	yellow
C04262	yellow
C01450	yellow
G00304	yellow
C04317	green
C04287	blue
G13179	blue
C04073	yellow
C00416	green
C11875	yellow
C21463	blue
C00624	green
C06404	yellow
C00227	blue
C05499	yellow
C14825	yellow
C04483	blue
C02198	yellow
C04802	yellow
C05956	yellow
C19873	yellow
C05640	green
C00523	yellow
C04438	green
C21754	yellow
C00718	green
C00415	green
C00294	green
C16679	yellow
C05488	yellow
C03794	green
C00344	green
C14810	yellow
C00003	green
C22007	yellow
C01747	yellow
C00246	blue
C03129	yellow
C16638	yellow
C00312	yellow
C00169	green
C21101	blue
C00704	green
C02463	green
C05307	yellow
G05309	yellow
C04089	yellow
C11135	yellow
C06506	green
G00059	yellow
C00300	green
C00459	green
C01051	green
C21016	yellow
C16711	yellow
C00120	green
C22123	yellow
C01094	green
C04477	yellow
C00135	green
C00261	yellow
C05791	green
C12205	yellow
C16502	green
C00645	green
C01641	green
C16336	yellow
C00214	green
C03885	yellow
C00617	green
C05691	green
G00005	yellow
C00406	yellow
C12138	yellow
C16521	yellow
C00721	green
C22441	green
G00526	yellow
C12204	yellow
C02972	green
C00201	green
C14840	yellow
C01190	green
C09265	yellow
G12573	yellow
C06376	blue
C01210	yellow
C05227	yellow
C13816	yellow
C01494	yellow
C00031	green
C03539	blue
C16429	yellow
G00883	yellow
C00028	green
C15965	yellow
C14748	yellow
C01371	yellow
C17337	yellow
C05756	green
C01629	yellow
C17332	yellow
G02977	yellow
C18310	yellow
C00136	green
C03402	green
C08590	yellow
C16273	blue
C16255	yellow
C16698	blue
C21797	yellow
C06407	blue
G00092	green
C14151	yellow
C22092	blue
C04717	yellow
C05501	yellow
C00170	green
C00039	green
C16677	yellow
C14768	yellow
C16276	yellow
C00020	green
C00121	green
C00129	green
C01209	green
C03410	yellow
C05431	yellow
C00735	yellow
C16360	yellow
C04637	yellow
C05285	yellow
C20376	green
C16428	yellow
C02465	yellow
C05455	yellow
C04919	green
C11435	green
C20422	blue
C05261	green
G10008	blue
C00996	yellow
C00179	green
C04216	blue
G00006	yellow
C19765	yellow
C00458	green
C02995	blue
C17346	yellow
C16430	yellow
C02967	green
C14787	yellow
C19878	blue
C02047	green
C04121	green
C11437	green
C01186	blue
C19591	yellow
C16328	yellow
C15814	green
C16489	blue
C11404	blue
C00672	green
C10107	yellow
C04913	yellow
C00037	green
C00487	yellow
C00533	yellow
C05824	green
C05810	blue
C15809	blue
C20861	blue
C11872	yellow
C05698	green
C05336	green
C02140	yellow
C20758	blue
C11455	yellow
C20395	blue
C05802	yellow
C05923	green
C04441	yellow
C05659	yellow
C12248	green
C06125	yellow
C01327	green
C00741	blue
C04145	yellow
C03341	blue
C00095	green
C01931	green
C19802	yellow
C01250	green
C18045	yellow
C05583	yellow
C00658	yellow
C05645	yellow
G10620	yellow
C01119	yellow
C00159	green
C00667	green
C03406	green
C20641	green
C00423	yellow
G00027	yellow
C11865	yellow
C16186	blue
C00133	blue
C14749	yellow
G00026	yellow
C01301	yellow
C00561	green
C01131	blue
C00097	green
C05651	yellow
C11868	yellow
C03127	green
C04760	yellow
C00155	green
C11131	yellow
C00022	green
C05447	yellow
C14859	yellow
C17213	green
C21188	yellow
C03765	yellow
C01158	yellow
C22966	yellow
G13058	yellow
C00279	green
G00099	yellow
C04732	green
C16613	yellow
C17017	blue
C17323	green
G00278	yellow
C21151	yellow
C03912	green
C00112	green
C02163	green
C05772	blue
C04722	yellow
C19085	green
C14090	green
C01037	green
C19882	blue
C00198	blue
C04352	green
C14044	yellow
C00190	green
C21758	yellow
G00025	yellow
C05726	green
C23022	blue
G13167	blue
C02412	green
C13713	yellow
C14791	yellow
C21750	yellow
G13074	yellow
C05466	yellow
C03232	green
C03508	green
C16355	yellow
C05841	green
C11556	yellow
C15790	yellow
C16693	yellow
C04230	green
C11857	yellow
C00909	yellow
C06123	yellow
C21008	green
C01825	yellow
C11453	green
C06224	blue
C04896	green
C11173	green
C16424	yellow
C06128	green
C05660	yellow
C11406	blue
C14800	yellow
C06247	yellow
C02090	yellow
C14463	green
C00161	green
C19673	blue
C01530	yellow
C00313	yellow
C03454	yellow
C14792	yellow
C17622	yellow
C12135	yellow
G13037	yellow
C21000	yellow
C04153	blue
C00353	green
G10545	green
G00086	yellow
C14773	yellow
C05921	green
C04730	green
C03564	yellow
C17227	green
C05759	green
C15520	yellow
C00450	yellow
C11417	blue
C02084	blue
C05298	yellow
C00248	green
C05828	yellow
C05460	yellow
C20700	yellow
C21284	blue
G00171	yellow
C20722	yellow
C04926	yellow
C00204	blue
C00130	yellow
C00962	green
C19846	green
G13034	yellow
C03838	green
C00032	green
C00535	green
G00012	yellow
G00038	yellow
C14856	yellow
C15645	yellow
G13341	yellow
G00474	yellow
C00005	green
C00882	green
C00666	blue
C16389	yellow
C02171	yellow
G10981	yellow
C05648	yellow
C01898	green
G10553	green
C08591	yellow
C01172	green
C11526	yellow
C14868	yellow
C20390	blue
C04881	blue
C00146	blue
C00072	yellow
C04432	green
C00940	yellow
G06302	yellow
C05960	yellow
C00460	green
C00307	yellow
C11557	yellow
G00100	yellow
G00129	yellow
C06090	yellow
C05427	yellow
C21881	blue
C20859	yellow
C18022	yellow
C05276	yellow
C00088	green
C06561	yellow
C05584	yellow
C11132	yellow
C00621	yellow
C21065	green
C05787	yellow
C00354	green
C12127	yellow
C01245	yellow
C14772	yellow
C02713	green
C06188	blue
C03372	yellow
C01168	green
C14807	yellow
C17758	yellow
C00035	green
C00258	green
C02191	yellow
C01220	yellow
C19078	green
C16584	yellow
C00399	green
C00054	green
C15979	green
C21878	blue
C05758	green
C06507	blue
G00146	yellow
C00213	yellow
C05830	yellow
C00864	green
G00165	yellow
C02553	green
C19418	yellow
C03921	blue
C11947	yellow
C16291	yellow
C00861	blue
C03025	yellow
C06510	blue
C00058	green
C02411	yellow
C03160	green
C01269	green
G00050	yellow
C00328	yellow
C00218	yellow
G13027	yellow
C00166	green
C07446	yellow
C05402	green
C16216	yellow
C20936	yellow
C00492	green
C05751	green
C03024	yellow
C19562	yellow
C06563	green
C00409	green
C14782	yellow
C01197	yellow
C01780	yellow
C22119	yellow
C02336	green
C05545	yellow
C02338	blue
C00663	blue
C06472	yellow
C00144	green
C16612	yellow
C20753	blue
C18796	green
C22159	green
C00104	green
C11830	yellow
C22157	yellow
C00160	green
C00671	green
C05849	yellow
C05674	yellow
G10506	yellow
C19563	yellow
C02960	yellow
C04196	yellow
C06567	blue
C21640	yellow
G00104	yellow
C04327	green
C00647	green
C18060	yellow
G00075	yellow
C16254	green
C06504	blue
C15810	green
C11583	yellow
G00149	yellow
C00082	yellow
C16615	green
C15857	yellow
C00131	green
C04824	blue
C06423	green
C21462	blue
C22854	yellow
C03289	yellow
G13350	yellow
C16582	yellow
C11062	blue
C05138	yellow
C02280	yellow
C16834	yellow
C05699	green
C05675	yellow
C04006	green
C01267	green
C04677	green
C00085	green
C00341	green
C01563	green
C01368	blue
C01227	yellow
C18904	yellow
C00254	green
G00110	yellow
C11420	blue
C17401	blue
C05223	green
C06613	green
C03125	green
C00493	yellow
C05894	blue
C02075	yellow
C01300	green
C00280	green
C00411	yellow
C13455	yellow
C15925	yellow
C11543	blue
C11907	green
C00412	yellow
C05324	yellow
C02199	yellow
C05838	green
G00002	yellow
C21189	yellow
C06201	blue
C03492	green
C00060	green
C16321	yellow
G00704	yellow
C20858	green
G00889	yellow
G13052	yellow
C01762	green
C00127	green
C11855	yellow
C01181	green
C16220	green
C20933	blue
C02000	yellow
C20121	yellow
C17331	yellow
C15799	yellow
C01170	blue
C02067	yellow
C17339	yellow
C00118	green
G00123	yellow
C11150	yellow
C16348	green
C06095	yellow
C00006	green
C04442	blue
C00185	green
C05642	yellow
C06187	blue
C19858	yellow
C00004	green
C03827	yellow
C05999	yellow
C11538	blue
C02920	yellow
C05951	green
C03733	blue
C02097	green
C05897	green
C01262	yellow
C05487	yellow
C06250	green
C05109	yellow
C03231	yellow
C00265	yellow
C00445	green
C01326	yellow
C00013	green
C01228	green
C00588	yellow
G00144	yellow
C00151	yellow
C21926	yellow
C16362	yellow
C06364	blue
C01077	blue
C20238	green
C03373	green
C02356	yellow
C21943	yellow
C15558	yellow
C00180	green
C14099	green
C00233	green
C16470	blue
C12144	yellow
C14854	yellow
C00108	green
C00582	blue
C00942	yellow
G13081	yellow
C05668	yellow
C16238	green
C14805	yellow
C19586	yellow
C06178	yellow
C04487	yellow
C05893	green
C03871	blue
C00016	green
C01635	blue
C08614	yellow
C17556	blue
C02166	yellow
C23017	blue
C00438	green
C03201	yellow
C01164	yellow
C11572	yellow
C04702	blue
C04132	green
C17439	yellow
C05290	yellow
C14827	yellow
C01211	yellow
G13094	yellow
C16622	yellow
C00751	yellow
C01678	yellow
C15967	yellow
C04712	yellow
C00979	green
C00835	yellow
C00763	blue
C00921	green
C16487	yellow
G10488	yellow
C14769	yellow
C00077	green
C04332	green
G00035	yellow
G01391	green
C21018	green
C20909	yellow
C04462	blue
C02094	yellow
C00001	green
C14869	yellow
C00333	yellow
C00331	yellow
G10818	yellow
C21935	yellow
C17432	yellow
C09665	yellow
G13098	yellow
C12739	green
C06329	yellow
C22500	yellow
C05589	yellow
C00062	green
C01367	blue
C20862	yellow
C05141	yellow
C15519	yellow
C00221	green
C01031	yellow
C16540	yellow
G13351	yellow
C16300	yellow
C00302	green
C15792	yellow
C14845	yellow
C00078	green
C01527	yellow
C11436	green
C00203	yellow
C00504	green
C06098	yellow
C00500	yellow
C03657	yellow
C16400	blue
C14850	yellow
C05582	yellow
G00068	yellow
G00158	yellow
C19745	blue
G00064	yellow
C05172	green
C09614	yellow
C01335	green
C00350	green
C05341	yellow
C04738	green
C00243	yellow
C05909	yellow
C01378	yellow
C00470	green
C00207	blue
C15587	green
C00631	green
C00555	green
C21939	yellow
C05831	yellow
C16242	blue
C20239	green
C04882	blue
C01674	green
G11160	green
C05366	yellow
C00089	green
C00325	yellow
C03691	yellow
C20248	blue
C01233	yellow
G00177	blue
C01382	yellow
C01573	yellow
C15972	green
C03741	green
C21029	green
G00028	yellow
C01744	blue
C15976	green
C00558	blue
G00066	yellow
C11821	yellow
C05335	green
C04895	green
G00062	yellow
C08285	yellow
C00483	yellow
C00253	green
C05284	yellow
C21665	yellow
C02702	green
C11136	yellow
C11376	yellow
C02835	green
C16587	green
C01112	green
G00085	yellow
C07086	green
C02249	yellow
C02495	yellow
C05965	yellow
C04185	yellow
C05361	yellow
C11811	green
C04419	green
C22963	yellow
C00785	green
C04598	yellow
C17322	blue
C04708	yellow
C05903	yellow
G00117	yellow
C20237	blue
C02373	yellow
C00036	green
C06615	green
C05449	yellow
C01724	yellow
C19616	yellow
C03175	green
C05434	yellow
C09320	yellow
C15525	yellow
C15798	yellow
C04832	blue
C01179	green
C17215	green
G11492	yellow
C00446	green
C14849	yellow
C20907	yellow
C00106	green
C00559	green
G00120	yellow
C15858	yellow
C03291	blue
C01142	blue
C22412	blue
C01157	yellow
C14844	yellow
C00051	green
C15667	blue
C20246	blue
C03722	green
C01277	yellow
C16163	yellow
C16330	green
C06427	green
C21924	yellow
C02034	yellow
C01110	yellow
C05350	yellow
C05703	green
C00630	green
C01069	yellow
C22831	yellow
