Code,ScientificName,Taxonomy,food_frequency
bta,Bos taurus (cow),Eukaryotes;Animals;Mammals;Artiodactyla,2
gga,Gallus gallus (chicken),Eukaryotes;Animals;Birds;Galliformes,4
tty,Thunnus thynnus (Atlantic bluefin tuna),Eukaryotes;Animals;Fishes;other Teleostei,5
minc,Mangifera indica (mango),Eukaryotes;Plants;Eudicots;Sumac family,8
pvu,Phaseolus vulgaris (common bean),Eukaryotes;Plants;Eudicots;Pea family,2
vun,Vigna unguiculata (cowpea),Eukaryotes;Plants;Eudicots;Pea family,7
ahf,Arachis hypogaea (peanut),Eukaryotes;Plants;Eudicots;Pea family,8
mesc,Manihot esculenta (cassava),Eukaryotes;Plants;Eudicots;Spurge family,7
vvi,Vitis vinifera (wine grape),Eukaryotes;Plants;Eudicots;Grape family,3
sot,Solanum tuberosum (potato),Eukaryotes;Plants;Eudicots;Nightshade family,3
dcr,Daucus carota (carrot),Eukaryotes;Plants;Eudicots;Parsley family,8
dlt,Diospyros lotus (date-plum),Eukaryotes;Plants;Eudicots;Ebony family,2
osa,Oryza sativa japonica (Japanese rice),Eukaryotes;Plants;Monocots;Grass family,7
zma,Zea mays (maize),Eukaryotes;Plants;Monocots;Grass family,14
